StartDate,EndDate,Value (kWh),Notes
2024-06-01 00:00:00,2024-06-01 01:00:00,2.09,
2024-06-01 01:00:00,2024-06-01 02:00:00,2.91,
2024-06-01 02:00:00,2024-06-01 03:00:00,1.154,
2024-06-01 03:00:00,2024-06-01 04:00:00,1.135,
2024-06-01 04:00:00,2024-06-01 05:00:00,1.316,
2024-06-01 05:00:00,2024-06-01 06:00:00,0.925,
2024-06-01 06:00:00,2024-06-01 07:00:00,1.022,
2024-06-01 07:00:00,2024-06-01 08:00:00,0.899,
2024-06-01 08:00:00,2024-06-01 09:00:00,1.638,
2024-06-01 09:00:00,2024-06-01 10:00:00,1.854,
2024-06-01 10:00:00,2024-06-01 11:00:00,0.466,
2024-06-01 11:00:00,2024-06-01 12:00:00,0.493,
2024-06-01 12:00:00,2024-06-01 13:00:00,0.803,
2024-06-01 13:00:00,2024-06-01 14:00:00,0.451,
2024-06-01 14:00:00,2024-06-01 15:00:00,0.598,
2024-06-01 15:00:00,2024-06-01 16:00:00,0.501,
2024-06-01 16:00:00,2024-06-01 17:00:00,0.495,
2024-06-01 17:00:00,2024-06-01 18:00:00,0.449,
2024-06-01 18:00:00,2024-06-01 19:00:00,0.799,
2024-06-01 19:00:00,2024-06-01 20:00:00,2.997,
2024-06-01 20:00:00,2024-06-01 21:00:00,3.396,
2024-06-01 21:00:00,2024-06-01 22:00:00,4.214,
2024-06-01 22:00:00,2024-06-01 23:00:00,1.804,
2024-06-01 23:00:00,2024-06-02 00:00:00,2.413,
2024-06-02 00:00:00,2024-06-02 01:00:00,1.556,
2024-06-02 01:00:00,2024-06-02 02:00:00,1.608,
2024-06-02 02:00:00,2024-06-02 03:00:00,1.68,
2024-06-02 03:00:00,2024-06-02 04:00:00,1.382,
2024-06-02 04:00:00,2024-06-02 05:00:00,1.062,
2024-06-02 05:00:00,2024-06-02 06:00:00,1.1,
2024-06-02 06:00:00,2024-06-02 07:00:00,1.476,
2024-06-02 07:00:00,2024-06-02 08:00:00,1.168,
2024-06-02 08:00:00,2024-06-02 09:00:00,1.157,
2024-06-02 09:00:00,2024-06-02 10:00:00,1.126,
2024-06-02 10:00:00,2024-06-02 11:00:00,0.414,
2024-06-02 11:00:00,2024-06-02 12:00:00,1.636,
2024-06-02 12:00:00,2024-06-02 13:00:00,0.425,
2024-06-02 13:00:00,2024-06-02 14:00:00,0.728,
2024-06-02 14:00:00,2024-06-02 15:00:00,0.544,
2024-06-02 15:00:00,2024-06-02 16:00:00,0.93,
2024-06-02 16:00:00,2024-06-02 17:00:00,1.022,
2024-06-02 17:00:00,2024-06-02 18:00:00,0.938,
2024-06-02 18:00:00,2024-06-02 19:00:00,1.334,
2024-06-02 19:00:00,2024-06-02 20:00:00,1.029,
2024-06-02 20:00:00,2024-06-02 21:00:00,4.661,
2024-06-02 21:00:00,2024-06-02 22:00:00,6.055,
2024-06-02 22:00:00,2024-06-02 23:00:00,3.622,
2024-06-02 23:00:00,2024-06-03 00:00:00,2.578,
2024-06-03 00:00:00,2024-06-03 01:00:00,2.15,
2024-06-03 01:00:00,2024-06-03 02:00:00,1.741,
2024-06-03 02:00:00,2024-06-03 03:00:00,1.505,
2024-06-03 03:00:00,2024-06-03 04:00:00,1.66,
2024-06-03 04:00:00,2024-06-03 05:00:00,1.665,
2024-06-03 05:00:00,2024-06-03 06:00:00,1.412,
2024-06-03 06:00:00,2024-06-03 07:00:00,1.319,
2024-06-03 07:00:00,2024-06-03 08:00:00,1.235,
2024-06-03 08:00:00,2024-06-03 09:00:00,1.683,
2024-06-03 09:00:00,2024-06-03 10:00:00,2.829,
2024-06-03 10:00:00,2024-06-03 11:00:00,1.123,
2024-06-03 11:00:00,2024-06-03 12:00:00,0.809,
2024-06-03 12:00:00,2024-06-03 13:00:00,0.427,
2024-06-03 13:00:00,2024-06-03 14:00:00,0.436,
2024-06-03 14:00:00,2024-06-03 15:00:00,0.583,
2024-06-03 15:00:00,2024-06-03 16:00:00,0.917,
2024-06-03 16:00:00,2024-06-03 17:00:00,1.798,
2024-06-03 17:00:00,2024-06-03 18:00:00,3.981,
2024-06-03 18:00:00,2024-06-03 19:00:00,3.715,
2024-06-03 19:00:00,2024-06-03 20:00:00,5.858,
2024-06-03 20:00:00,2024-06-03 21:00:00,2.876,
2024-06-03 21:00:00,2024-06-03 22:00:00,6.225,
2024-06-03 22:00:00,2024-06-03 23:00:00,4.304,
2024-06-03 23:00:00,2024-06-04 00:00:00,3.506,
2024-06-04 00:00:00,2024-06-04 01:00:00,2.885,
2024-06-04 01:00:00,2024-06-04 02:00:00,3.466,
2024-06-04 02:00:00,2024-06-04 03:00:00,2.707,
2024-06-04 03:00:00,2024-06-04 04:00:00,4.633,
2024-06-04 04:00:00,2024-06-04 05:00:00,3.563,
2024-06-04 05:00:00,2024-06-04 06:00:00,1.666,
2024-06-04 06:00:00,2024-06-04 07:00:00,1.672,
2024-06-04 07:00:00,2024-06-04 08:00:00,1.861,
2024-06-04 08:00:00,2024-06-04 09:00:00,1.657,
2024-06-04 09:00:00,2024-06-04 10:00:00,1.857,
2024-06-04 10:00:00,2024-06-04 11:00:00,1.964,
2024-06-04 11:00:00,2024-06-04 12:00:00,2.073,
2024-06-04 12:00:00,2024-06-04 13:00:00,3.935,
2024-06-04 13:00:00,2024-06-04 14:00:00,3.884,
2024-06-04 14:00:00,2024-06-04 15:00:00,2.861,
2024-06-04 15:00:00,2024-06-04 16:00:00,4.354,
2024-06-04 16:00:00,2024-06-04 17:00:00,2.684,
2024-06-04 17:00:00,2024-06-04 18:00:00,1.822,
2024-06-04 18:00:00,2024-06-04 19:00:00,1.742,
2024-06-04 19:00:00,2024-06-04 20:00:00,7.153,
2024-06-04 20:00:00,2024-06-04 21:00:00,5.247,
2024-06-04 21:00:00,2024-06-04 22:00:00,3.575,
2024-06-04 22:00:00,2024-06-04 23:00:00,3.182,
2024-06-04 23:00:00,2024-06-05 00:00:00,2.714,
2024-06-05 00:00:00,2024-06-05 01:00:00,4.493,
