StartDate,EndDate,Value (kWh),Notes
2023-11-01 00:00:00,2023-11-01 01:00:00,0.566,
2023-11-01 01:00:00,2023-11-01 02:00:00,0.586,
2023-11-01 02:00:00,2023-11-01 03:00:00,0.54,
2023-11-01 03:00:00,2023-11-01 04:00:00,0.472,
2023-11-01 04:00:00,2023-11-01 05:00:00,0.63,
2023-11-01 05:00:00,2023-11-01 06:00:00,0.417,
2023-11-01 06:00:00,2023-11-01 07:00:00,0.3,
2023-11-01 07:00:00,2023-11-01 08:00:00,0.334,
2023-11-01 08:00:00,2023-11-01 09:00:00,0.607,
2023-11-01 09:00:00,2023-11-01 10:00:00,0.417,
2023-11-01 10:00:00,2023-11-01 11:00:00,0.425,
2023-11-01 11:00:00,2023-11-01 12:00:00,0.44,
2023-11-01 12:00:00,2023-11-01 13:00:00,0.416,
2023-11-01 13:00:00,2023-11-01 14:00:00,0.739,
2023-11-01 14:00:00,2023-11-01 15:00:00,2.613,
2023-11-01 15:00:00,2023-11-01 16:00:00,1.143,
2023-11-01 16:00:00,2023-11-01 17:00:00,0.502,
2023-11-01 17:00:00,2023-11-01 18:00:00,0.509,
2023-11-01 18:00:00,2023-11-01 19:00:00,0.804,
2023-11-01 19:00:00,2023-11-01 20:00:00,0.562,
2023-11-01 20:00:00,2023-11-01 21:00:00,3.337,
2023-11-01 21:00:00,2023-11-01 22:00:00,1.707,
2023-11-01 22:00:00,2023-11-01 23:00:00,0.93,
2023-11-01 23:00:00,2023-11-02 00:00:00,0.52,
2023-11-02 00:00:00,2023-11-02 01:00:00,0.951,
2023-11-02 01:00:00,2023-11-02 02:00:00,0.652,
2023-11-02 02:00:00,2023-11-02 03:00:00,0.78,
2023-11-02 03:00:00,2023-11-02 04:00:00,4.41,
2023-11-02 04:00:00,2023-11-02 05:00:00,0.713,
2023-11-02 05:00:00,2023-11-02 06:00:00,0.39,
2023-11-02 06:00:00,2023-11-02 07:00:00,0.351,
2023-11-02 07:00:00,2023-11-02 08:00:00,0.661,
2023-11-02 08:00:00,2023-11-02 09:00:00,0.394,
2023-11-02 09:00:00,2023-11-02 10:00:00,0.509,
2023-11-02 10:00:00,2023-11-02 11:00:00,0.512,
2023-11-02 11:00:00,2023-11-02 12:00:00,0.67,
2023-11-02 12:00:00,2023-11-02 13:00:00,1.433,
2023-11-02 13:00:00,2023-11-02 14:00:00,0.818,
2023-11-02 14:00:00,2023-11-02 15:00:00,0.508,
2023-11-02 15:00:00,2023-11-02 16:00:00,0.543,
2023-11-02 16:00:00,2023-11-02 17:00:00,0.516,
2023-11-02 17:00:00,2023-11-02 18:00:00,2.287,
2023-11-02 18:00:00,2023-11-02 19:00:00,0.952,
2023-11-02 19:00:00,2023-11-02 20:00:00,0.682,
2023-11-02 20:00:00,2023-11-02 21:00:00,0.926,
2023-11-02 21:00:00,2023-11-02 22:00:00,0.731,
2023-11-02 22:00:00,2023-11-02 23:00:00,1.771,
2023-11-02 23:00:00,2023-11-03 00:00:00,1.396,
2023-11-03 00:00:00,2023-11-03 01:00:00,0.629,
2023-11-03 01:00:00,2023-11-03 02:00:00,0.593,
2023-11-03 02:00:00,2023-11-03 03:00:00,0.588,
2023-11-03 03:00:00,2023-11-03 04:00:00,0.67,
2023-11-03 04:00:00,2023-11-03 05:00:00,0.412,
2023-11-03 05:00:00,2023-11-03 06:00:00,0.445,
2023-11-03 06:00:00,2023-11-03 07:00:00,0.412,
2023-11-03 07:00:00,2023-11-03 08:00:00,0.676,
2023-11-03 08:00:00,2023-11-03 09:00:00,0.398,
