StartDate,EndDate,Value (kWh),Notes
2024-08-01 00:00:00,2024-08-01 01:00:00,3.951,
2024-08-01 01:00:00,2024-08-01 02:00:00,4.386,
2024-08-01 02:00:00,2024-08-01 03:00:00,2.594,
2024-08-01 03:00:00,2024-08-01 04:00:00,1.839,
2024-08-01 04:00:00,2024-08-01 05:00:00,1.638,
2024-08-01 05:00:00,2024-08-01 06:00:00,2.083,
2024-08-01 06:00:00,2024-08-01 07:00:00,1.746,
2024-08-01 07:00:00,2024-08-01 08:00:00,1.745,
2024-08-01 08:00:00,2024-08-01 09:00:00,1.975,
2024-08-01 09:00:00,2024-08-01 10:00:00,2.712,
2024-08-01 10:00:00,2024-08-01 11:00:00,0.62,
2024-08-01 11:00:00,2024-08-01 12:00:00,0.493,
2024-08-01 12:00:00,2024-08-01 13:00:00,1.299,
2024-08-01 13:00:00,2024-08-01 14:00:00,1.694,
2024-08-01 14:00:00,2024-08-01 15:00:00,1.556,
2024-08-01 15:00:00,2024-08-01 16:00:00,1.656,
2024-08-01 16:00:00,2024-08-01 17:00:00,1.734,
2024-08-01 17:00:00,2024-08-01 18:00:00,2.093,
2024-08-01 18:00:00,2024-08-01 19:00:00,1.615,
2024-08-01 19:00:00,2024-08-01 20:00:00,1.831,
2024-08-01 20:00:00,2024-08-01 21:00:00,2.616,
2024-08-01 21:00:00,2024-08-01 22:00:00,6.558,
2024-08-01 22:00:00,2024-08-01 23:00:00,4.445,
2024-08-01 23:00:00,2024-08-02 00:00:00,4.625,
2024-08-02 00:00:00,2024-08-02 01:00:00,2.601,
2024-08-02 01:00:00,2024-08-02 02:00:00,2.376,
2024-08-02 02:00:00,2024-08-02 03:00:00,2.32,
2024-08-02 03:00:00,2024-08-02 04:00:00,1.795,
2024-08-02 04:00:00,2024-08-02 05:00:00,1.533,
2024-08-02 05:00:00,2024-08-02 06:00:00,1.462,
2024-08-02 06:00:00,2024-08-02 07:00:00,1.644,
2024-08-02 07:00:00,2024-08-02 08:00:00,1.689,
2024-08-02 08:00:00,2024-08-02 09:00:00,1.741,
2024-08-02 09:00:00,2024-08-02 10:00:00,2.689,
2024-08-02 10:00:00,2024-08-02 11:00:00,2.232,
2024-08-02 11:00:00,2024-08-02 12:00:00,2.588,
2024-08-02 12:00:00,2024-08-02 13:00:00,2.288,
2024-08-02 13:00:00,2024-08-02 14:00:00,2.362,
2024-08-02 14:00:00,2024-08-02 15:00:00,2.301,
2024-08-02 15:00:00,2024-08-02 16:00:00,2.447,
2024-08-02 16:00:00,2024-08-02 17:00:00,2.477,
2024-08-02 17:00:00,2024-08-02 18:00:00,2.395,
2024-08-02 18:00:00,2024-08-02 19:00:00,2.059,
2024-08-02 19:00:00,2024-08-02 20:00:00,2.035,
2024-08-02 20:00:00,2024-08-02 21:00:00,2.835,
2024-08-02 21:00:00,2024-08-02 22:00:00,1.673,
2024-08-02 22:00:00,2024-08-02 23:00:00,1.818,
2024-08-02 23:00:00,2024-08-03 00:00:00,2.529,
2024-08-03 00:00:00,2024-08-03 01:00:00,3.333,
2024-08-03 01:00:00,2024-08-03 02:00:00,3.269,
2024-08-03 02:00:00,2024-08-03 03:00:00,2.339,
2024-08-03 03:00:00,2024-08-03 04:00:00,2.689,
2024-08-03 04:00:00,2024-08-03 05:00:00,1.398,
2024-08-03 05:00:00,2024-08-03 06:00:00,1.494,
2024-08-03 06:00:00,2024-08-03 07:00:00,1.432,
2024-08-03 07:00:00,2024-08-03 08:00:00,1.766,
