StartDate,EndDate,Value (kWh),Notes
2024-03-01 00:00:00,2024-03-01 01:00:00,1.89,
2024-03-01 01:00:00,2024-03-01 02:00:00,2.199,
2024-03-01 02:00:00,2024-03-01 03:00:00,1.122,
2024-03-01 03:00:00,2024-03-01 04:00:00,0.455,
2024-03-01 04:00:00,2024-03-01 05:00:00,0.722,
2024-03-01 05:00:00,2024-03-01 06:00:00,0.459,
2024-03-01 06:00:00,2024-03-01 07:00:00,0.437,
2024-03-01 07:00:00,2024-03-01 08:00:00,0.418,
2024-03-01 08:00:00,2024-03-01 09:00:00,0.677,
2024-03-01 09:00:00,2024-03-01 10:00:00,0.514,
2024-03-01 10:00:00,2024-03-01 11:00:00,0.48,
2024-03-01 11:00:00,2024-03-01 12:00:00,1.481,
2024-03-01 12:00:00,2024-03-01 13:00:00,0.894,
2024-03-01 13:00:00,2024-03-01 14:00:00,0.549,
2024-03-01 14:00:00,2024-03-01 15:00:00,0.803,
2024-03-01 15:00:00,2024-03-01 16:00:00,0.561,
2024-03-01 16:00:00,2024-03-01 17:00:00,0.536,
2024-03-01 17:00:00,2024-03-01 18:00:00,2.857,
2024-03-01 18:00:00,2024-03-01 19:00:00,2.108,
2024-03-01 19:00:00,2024-03-01 20:00:00,1.201,
2024-03-01 20:00:00,2024-03-01 21:00:00,0.948,
2024-03-01 21:00:00,2024-03-01 22:00:00,2.034,
2024-03-01 22:00:00,2024-03-01 23:00:00,2.546,
2024-03-01 23:00:00,2024-03-02 00:00:00,1.161,
2024-03-02 00:00:00,2024-03-02 01:00:00,2.058,
2024-03-02 01:00:00,2024-03-02 02:00:00,1.625,
2024-03-02 02:00:00,2024-03-02 03:00:00,1.189,
2024-03-02 03:00:00,2024-03-02 04:00:00,0.657,
2024-03-02 04:00:00,2024-03-02 05:00:00,0.642,
2024-03-02 05:00:00,2024-03-02 06:00:00,0.655,
2024-03-02 06:00:00,2024-03-02 07:00:00,0.384,
2024-03-02 07:00:00,2024-03-02 08:00:00,0.635,
2024-03-02 08:00:00,2024-03-02 09:00:00,0.429,
2024-03-02 09:00:00,2024-03-02 10:00:00,1.298,
2024-03-02 10:00:00,2024-03-02 11:00:00,0.833,
2024-03-02 11:00:00,2024-03-02 12:00:00,1.246,
2024-03-02 12:00:00,2024-03-02 13:00:00,0.93,
2024-03-02 13:00:00,2024-03-02 14:00:00,0.955,
2024-03-02 14:00:00,2024-03-02 15:00:00,1.019,
2024-03-02 15:00:00,2024-03-02 16:00:00,1.189,
2024-03-02 16:00:00,2024-03-02 17:00:00,2.519,
2024-03-02 17:00:00,2024-03-02 18:00:00,1.523,
2024-03-02 18:00:00,2024-03-02 19:00:00,1.086,
2024-03-02 19:00:00,2024-03-02 20:00:00,1.547,
2024-03-02 20:00:00,2024-03-02 21:00:00,0.591,
2024-03-02 21:00:00,2024-03-02 22:00:00,2.299,
2024-03-02 22:00:00,2024-03-02 23:00:00,2.685,
2024-03-02 23:00:00,2024-03-03 00:00:00,2.925,
2024-03-03 00:00:00,2024-03-03 01:00:00,0.896,
2024-03-03 01:00:00,2024-03-03 02:00:00,1.545,
2024-03-03 02:00:00,2024-03-03 03:00:00,0.923,
2024-03-03 03:00:00,2024-03-03 04:00:00,0.957,
2024-03-03 04:00:00,2024-03-03 05:00:00,0.761,
2024-03-03 05:00:00,2024-03-03 06:00:00,0.492,
2024-03-03 06:00:00,2024-03-03 07:00:00,0.535,
2024-03-03 07:00:00,2024-03-03 08:00:00,0.797,
2024-03-03 08:00:00,2024-03-03 09:00:00,0.704,
2024-03-03 09:00:00,2024-03-03 10:00:00,0.745,
2024-03-03 10:00:00,2024-03-03 11:00:00,0.812,
2024-03-03 11:00:00,2024-03-03 12:00:00,1.182,
2024-03-03 12:00:00,2024-03-03 13:00:00,1.394,
2024-03-03 13:00:00,2024-03-03 14:00:00,1.547,
2024-03-03 14:00:00,2024-03-03 15:00:00,1.764,
2024-03-03 15:00:00,2024-03-03 16:00:00,0.606,
2024-03-03 16:00:00,2024-03-03 17:00:00,1.332,
2024-03-03 17:00:00,2024-03-03 18:00:00,0.557,
2024-03-03 18:00:00,2024-03-03 19:00:00,0.889,
2024-03-03 19:00:00,2024-03-03 20:00:00,2.8,
2024-03-03 20:00:00,2024-03-03 21:00:00,4.029,
2024-03-03 21:00:00,2024-03-03 22:00:00,3.924,
2024-03-03 22:00:00,2024-03-03 23:00:00,3.929,
2024-03-03 23:00:00,2024-03-04 00:00:00,2.943,
2024-03-04 00:00:00,2024-03-04 01:00:00,2.738,
2024-03-04 01:00:00,2024-03-04 02:00:00,3.574,
2024-03-04 02:00:00,2024-03-04 03:00:00,6.663,
2024-03-04 03:00:00,2024-03-04 04:00:00,1.173,
2024-03-04 04:00:00,2024-03-04 05:00:00,1.065,
2024-03-04 05:00:00,2024-03-04 06:00:00,0.774,
2024-03-04 06:00:00,2024-03-04 07:00:00,1.051,
2024-03-04 07:00:00,2024-03-04 08:00:00,0.769,
2024-03-04 08:00:00,2024-03-04 09:00:00,0.965,
2024-03-04 09:00:00,2024-03-04 10:00:00,0.956,
2024-03-04 10:00:00,2024-03-04 11:00:00,1.324,
2024-03-04 11:00:00,2024-03-04 12:00:00,0.643,
2024-03-04 12:00:00,2024-03-04 13:00:00,0.783,
2024-03-04 13:00:00,2024-03-04 14:00:00,0.721,
2024-03-04 14:00:00,2024-03-04 15:00:00,1.027,
2024-03-04 15:00:00,2024-03-04 16:00:00,0.917,
2024-03-04 16:00:00,2024-03-04 17:00:00,0.859,
2024-03-04 17:00:00,2024-03-04 18:00:00,1.135,
2024-03-04 18:00:00,2024-03-04 19:00:00,3.912,
2024-03-04 19:00:00,2024-03-04 20:00:00,2.583,
2024-03-04 20:00:00,2024-03-04 21:00:00,1.997,
2024-03-04 21:00:00,2024-03-04 22:00:00,1.502,
2024-03-04 22:00:00,2024-03-04 23:00:00,3.083,
2024-03-04 23:00:00,2024-03-05 00:00:00,3.368,
2024-03-05 00:00:00,2024-03-05 01:00:00,2.033,
2024-03-05 01:00:00,2024-03-05 02:00:00,7.823,
2024-03-05 02:00:00,2024-03-05 03:00:00,3.913,
2024-03-05 03:00:00,2024-03-05 04:00:00,3.295,
2024-03-05 04:00:00,2024-03-05 05:00:00,2.581,
2024-03-05 05:00:00,2024-03-05 06:00:00,1.392,
2024-03-05 06:00:00,2024-03-05 07:00:00,0.895,
2024-03-05 07:00:00,2024-03-05 08:00:00,0.84,
2024-03-05 08:00:00,2024-03-05 09:00:00,1.164,
2024-03-05 09:00:00,2024-03-05 10:00:00,1.179,
2024-03-05 10:00:00,2024-03-05 11:00:00,1.768,
2024-03-05 11:00:00,2024-03-05 12:00:00,2.61,
2024-03-05 12:00:00,2024-03-05 13:00:00,3.169,
2024-03-05 13:00:00,2024-03-05 14:00:00,2.974,
2024-03-05 14:00:00,2024-03-05 15:00:00,3.068,
2024-03-05 15:00:00,2024-03-05 16:00:00,1.863,
2024-03-05 16:00:00,2024-03-05 17:00:00,1.781,
2024-03-05 17:00:00,2024-03-05 18:00:00,1.67,
2024-03-05 18:00:00,2024-03-05 19:00:00,3.09,
2024-03-05 19:00:00,2024-03-05 20:00:00,4.052,
2024-03-05 20:00:00,2024-03-05 21:00:00,2.356,
2024-03-05 21:00:00,2024-03-05 22:00:00,1.047,
2024-03-05 22:00:00,2024-03-05 23:00:00,1,
2024-03-05 23:00:00,2024-03-06 00:00:00,1.496,
2024-03-06 00:00:00,2024-03-06 01:00:00,1.394,
2024-03-06 01:00:00,2024-03-06 02:00:00,2.201,
2024-03-06 02:00:00,2024-03-06 03:00:00,1.877,
2024-03-06 03:00:00,2024-03-06 04:00:00,1.899,
2024-03-06 04:00:00,2024-03-06 05:00:00,1.643,
2024-03-06 05:00:00,2024-03-06 06:00:00,1.009,
2024-03-06 06:00:00,2024-03-06 07:00:00,0.823,
2024-03-06 07:00:00,2024-03-06 08:00:00,0.953,
2024-03-06 08:00:00,2024-03-06 09:00:00,0.861,
2024-03-06 09:00:00,2024-03-06 10:00:00,1.037,
2024-03-06 10:00:00,2024-03-06 11:00:00,1.277,
2024-03-06 11:00:00,2024-03-06 12:00:00,1.5,
2024-03-06 12:00:00,2024-03-06 13:00:00,1.205,
2024-03-06 13:00:00,2024-03-06 14:00:00,0.564,
2024-03-06 14:00:00,2024-03-06 15:00:00,0.93,
2024-03-06 15:00:00,2024-03-06 16:00:00,1.12,
2024-03-06 16:00:00,2024-03-06 17:00:00,2.048,
2024-03-06 17:00:00,2024-03-06 18:00:00,1.368,
