StartDate,EndDate,Value (kWh),Notes
2024-07-01 00:00:00,2024-07-01 01:00:00,2.483,
2024-07-01 01:00:00,2024-07-01 02:00:00,2.344,
2024-07-01 02:00:00,2024-07-01 03:00:00,1.915,
2024-07-01 03:00:00,2024-07-01 04:00:00,1.778,
2024-07-01 04:00:00,2024-07-01 05:00:00,1.753,
2024-07-01 05:00:00,2024-07-01 06:00:00,2.065,
2024-07-01 06:00:00,2024-07-01 07:00:00,1.69,
2024-07-01 07:00:00,2024-07-01 08:00:00,1.74,
2024-07-01 08:00:00,2024-07-01 09:00:00,2.416,
2024-07-01 09:00:00,2024-07-01 10:00:00,2.002,
2024-07-01 10:00:00,2024-07-01 11:00:00,0.452,
2024-07-01 11:00:00,2024-07-01 12:00:00,0.459,
2024-07-01 12:00:00,2024-07-01 13:00:00,0.44,
2024-07-01 13:00:00,2024-07-01 14:00:00,0.574,
2024-07-01 14:00:00,2024-07-01 15:00:00,1.159,
2024-07-01 15:00:00,2024-07-01 16:00:00,1.714,
2024-07-01 16:00:00,2024-07-01 17:00:00,1.45,
2024-07-01 17:00:00,2024-07-01 18:00:00,2.099,
2024-07-01 18:00:00,2024-07-01 19:00:00,2.141,
2024-07-01 19:00:00,2024-07-01 20:00:00,1.601,
2024-07-01 20:00:00,2024-07-01 21:00:00,1.823,
2024-07-01 21:00:00,2024-07-01 22:00:00,3.025,
2024-07-01 22:00:00,2024-07-01 23:00:00,3.111,
2024-07-01 23:00:00,2024-07-02 00:00:00,1.704,
2024-07-02 00:00:00,2024-07-02 01:00:00,1.873,
2024-07-02 01:00:00,2024-07-02 02:00:00,1.719,
2024-07-02 02:00:00,2024-07-02 03:00:00,1.701,
2024-07-02 03:00:00,2024-07-02 04:00:00,1.497,
2024-07-02 04:00:00,2024-07-02 05:00:00,1.483,
2024-07-02 05:00:00,2024-07-02 06:00:00,1.443,
2024-07-02 06:00:00,2024-07-02 07:00:00,1.391,
2024-07-02 07:00:00,2024-07-02 08:00:00,1.86,
2024-07-02 08:00:00,2024-07-02 09:00:00,1.858,
2024-07-02 09:00:00,2024-07-02 10:00:00,1.877,
2024-07-02 10:00:00,2024-07-02 11:00:00,1.98,
2024-07-02 11:00:00,2024-07-02 12:00:00,2.316,
2024-07-02 12:00:00,2024-07-02 13:00:00,4.464,
2024-07-02 13:00:00,2024-07-02 14:00:00,2.224,
2024-07-02 14:00:00,2024-07-02 15:00:00,2.356,
2024-07-02 15:00:00,2024-07-02 16:00:00,2.501,
2024-07-02 16:00:00,2024-07-02 17:00:00,2.222,
2024-07-02 17:00:00,2024-07-02 18:00:00,2.176,
2024-07-02 18:00:00,2024-07-02 19:00:00,2.858,
2024-07-02 19:00:00,2024-07-02 20:00:00,3.484,
2024-07-02 20:00:00,2024-07-02 21:00:00,4.003,
2024-07-02 21:00:00,2024-07-02 22:00:00,3.653,
2024-07-02 22:00:00,2024-07-02 23:00:00,4.076,
2024-07-02 23:00:00,2024-07-03 00:00:00,3.731,
2024-07-03 00:00:00,2024-07-03 01:00:00,2.322,
2024-07-03 01:00:00,2024-07-03 02:00:00,2.098,
2024-07-03 02:00:00,2024-07-03 03:00:00,6.141,
2024-07-03 03:00:00,2024-07-03 04:00:00,2.518,
2024-07-03 04:00:00,2024-07-03 05:00:00,1.594,
2024-07-03 05:00:00,2024-07-03 06:00:00,1.508,
2024-07-03 06:00:00,2024-07-03 07:00:00,1.725,
2024-07-03 07:00:00,2024-07-03 08:00:00,1.626,
