StartDate,EndDate,Value (kWh),Notes
2024-09-01 00:00:00,2024-09-01 01:00:00,2.221,
2024-09-01 01:00:00,2024-09-01 02:00:00,2.016,
2024-09-01 02:00:00,2024-09-01 03:00:00,4.923,
2024-09-01 03:00:00,2024-09-01 04:00:00,2.842,
2024-09-01 04:00:00,2024-09-01 05:00:00,2.005,
2024-09-01 05:00:00,2024-09-01 06:00:00,1.648,
2024-09-01 06:00:00,2024-09-01 07:00:00,1.228,
2024-09-01 07:00:00,2024-09-01 08:00:00,1.519,
2024-09-01 08:00:00,2024-09-01 09:00:00,1.506,
2024-09-01 09:00:00,2024-09-01 10:00:00,1.698,
2024-09-01 10:00:00,2024-09-01 11:00:00,0.84,
2024-09-01 11:00:00,2024-09-01 12:00:00,0.426,
2024-09-01 12:00:00,2024-09-01 13:00:00,1.665,
2024-09-01 13:00:00,2024-09-01 14:00:00,1.41,
2024-09-01 14:00:00,2024-09-01 15:00:00,1.545,
2024-09-01 15:00:00,2024-09-01 16:00:00,2.692,
2024-09-01 16:00:00,2024-09-01 17:00:00,1.412,
2024-09-01 17:00:00,2024-09-01 18:00:00,1.662,
2024-09-01 18:00:00,2024-09-01 19:00:00,1.515,
2024-09-01 19:00:00,2024-09-01 20:00:00,2.769,
2024-09-01 20:00:00,2024-09-01 21:00:00,5.303,
2024-09-01 21:00:00,2024-09-01 22:00:00,3.119,
2024-09-01 22:00:00,2024-09-01 23:00:00,2.286,
2024-09-01 23:00:00,2024-09-02 00:00:00,2.493,
2024-09-02 00:00:00,2024-09-02 01:00:00,2.107,
2024-09-02 01:00:00,2024-09-02 02:00:00,2.494,
2024-09-02 02:00:00,2024-09-02 03:00:00,1.775,
2024-09-02 03:00:00,2024-09-02 04:00:00,1.806,
2024-09-02 04:00:00,2024-09-02 05:00:00,2.202,
2024-09-02 05:00:00,2024-09-02 06:00:00,1.58,
2024-09-02 06:00:00,2024-09-02 07:00:00,1.183,
2024-09-02 07:00:00,2024-09-02 08:00:00,1.37,
2024-09-02 08:00:00,2024-09-02 09:00:00,1.65,
2024-09-02 09:00:00,2024-09-02 10:00:00,1.778,
2024-09-02 10:00:00,2024-09-02 11:00:00,1.861,
2024-09-02 11:00:00,2024-09-02 12:00:00,1.912,
2024-09-02 12:00:00,2024-09-02 13:00:00,2.649,
2024-09-02 13:00:00,2024-09-02 14:00:00,4.297,
2024-09-02 14:00:00,2024-09-02 15:00:00,3.239,
2024-09-02 15:00:00,2024-09-02 16:00:00,1.741,
2024-09-02 16:00:00,2024-09-02 17:00:00,1.488,
2024-09-02 17:00:00,2024-09-02 18:00:00,2.284,
2024-09-02 18:00:00,2024-09-02 19:00:00,1.826,
2024-09-02 19:00:00,2024-09-02 20:00:00,2.347,
2024-09-02 20:00:00,2024-09-02 21:00:00,3.951,
2024-09-02 21:00:00,2024-09-02 22:00:00,3.267,
2024-09-02 22:00:00,2024-09-02 23:00:00,4.086,
2024-09-02 23:00:00,2024-09-03 00:00:00,4.846,
2024-09-03 00:00:00,2024-09-03 01:00:00,3.705,
2024-09-03 01:00:00,2024-09-03 02:00:00,2.263,
2024-09-03 02:00:00,2024-09-03 03:00:00,1.484,
2024-09-03 03:00:00,2024-09-03 04:00:00,1.531,
2024-09-03 04:00:00,2024-09-03 05:00:00,1.401,
2024-09-03 05:00:00,2024-09-03 06:00:00,1.391,
2024-09-03 06:00:00,2024-09-03 07:00:00,1.539,
2024-09-03 07:00:00,2024-09-03 08:00:00,1.282,
2024-09-03 08:00:00,2024-09-03 09:00:00,1.719,
2024-09-03 09:00:00,2024-09-03 10:00:00,1.456,
2024-09-03 10:00:00,2024-09-03 11:00:00,1.845,
2024-09-03 11:00:00,2024-09-03 12:00:00,1.473,
2024-09-03 12:00:00,2024-09-03 13:00:00,1.987,
2024-09-03 13:00:00,2024-09-03 14:00:00,2.669,
2024-09-03 14:00:00,2024-09-03 15:00:00,2.692,
2024-09-03 15:00:00,2024-09-03 16:00:00,2.165,
2024-09-03 16:00:00,2024-09-03 17:00:00,2.531,
2024-09-03 17:00:00,2024-09-03 18:00:00,2.633,
2024-09-03 18:00:00,2024-09-03 19:00:00,3.747,
2024-09-03 19:00:00,2024-09-03 20:00:00,2.636,
2024-09-03 20:00:00,2024-09-03 21:00:00,2.971,
