StartDate,EndDate,Value (kWh),Notes
2024-04-01 00:00:00,2024-04-01 01:00:00,2.489,
2024-04-01 01:00:00,2024-04-01 02:00:00,1.742,
2024-04-01 02:00:00,2024-04-01 03:00:00,3.277,
2024-04-01 03:00:00,2024-04-01 04:00:00,1.175,
2024-04-01 04:00:00,2024-04-01 05:00:00,1.354,
2024-04-01 05:00:00,2024-04-01 06:00:00,1.074,
2024-04-01 06:00:00,2024-04-01 07:00:00,1.025,
2024-04-01 07:00:00,2024-04-01 08:00:00,1,
2024-04-01 08:00:00,2024-04-01 09:00:00,1.342,
2024-04-01 09:00:00,2024-04-01 10:00:00,1.567,
2024-04-01 10:00:00,2024-04-01 11:00:00,1.644,
2024-04-01 11:00:00,2024-04-01 12:00:00,1.816,
2024-04-01 12:00:00,2024-04-01 13:00:00,0.597,
2024-04-01 13:00:00,2024-04-01 14:00:00,0.886,
2024-04-01 14:00:00,2024-04-01 15:00:00,0.6,
2024-04-01 15:00:00,2024-04-01 16:00:00,0.575,
2024-04-01 16:00:00,2024-04-01 17:00:00,0.829,
2024-04-01 17:00:00,2024-04-01 18:00:00,1.466,
2024-04-01 18:00:00,2024-04-01 19:00:00,4.86,
2024-04-01 19:00:00,2024-04-01 20:00:00,1.657,
2024-04-01 20:00:00,2024-04-01 21:00:00,1.892,
2024-04-01 21:00:00,2024-04-01 22:00:00,1.636,
2024-04-01 22:00:00,2024-04-01 23:00:00,2.81,
2024-04-01 23:00:00,2024-04-02 00:00:00,4.422,
2024-04-02 00:00:00,2024-04-02 01:00:00,1.513,
2024-04-02 01:00:00,2024-04-02 02:00:00,1.937,
2024-04-02 02:00:00,2024-04-02 03:00:00,1.303,
2024-04-02 03:00:00,2024-04-02 04:00:00,1.101,
2024-04-02 04:00:00,2024-04-02 05:00:00,0.893,
2024-04-02 05:00:00,2024-04-02 06:00:00,1.229,
2024-04-02 06:00:00,2024-04-02 07:00:00,0.803,
2024-04-02 07:00:00,2024-04-02 08:00:00,0.88,
2024-04-02 08:00:00,2024-04-02 09:00:00,0.76,
2024-04-02 09:00:00,2024-04-02 10:00:00,1.075,
2024-04-02 10:00:00,2024-04-02 11:00:00,1.274,
2024-04-02 11:00:00,2024-04-02 12:00:00,0.988,
2024-04-02 12:00:00,2024-04-02 13:00:00,1.383,
2024-04-02 13:00:00,2024-04-02 14:00:00,2.167,
2024-04-02 14:00:00,2024-04-02 15:00:00,0.84,
2024-04-02 15:00:00,2024-04-02 16:00:00,0.537,
2024-04-02 16:00:00,2024-04-02 17:00:00,0.546,
2024-04-02 17:00:00,2024-04-02 18:00:00,0.56,
2024-04-02 18:00:00,2024-04-02 19:00:00,2.129,
2024-04-02 19:00:00,2024-04-02 20:00:00,1.777,
2024-04-02 20:00:00,2024-04-02 21:00:00,1.202,
2024-04-02 21:00:00,2024-04-02 22:00:00,1.354,
2024-04-02 22:00:00,2024-04-02 23:00:00,2.403,
2024-04-02 23:00:00,2024-04-03 00:00:00,2.897,
2024-04-03 00:00:00,2024-04-03 01:00:00,1.875,
2024-04-03 01:00:00,2024-04-03 02:00:00,4.404,
2024-04-03 02:00:00,2024-04-03 03:00:00,2.583,
2024-04-03 03:00:00,2024-04-03 04:00:00,1.373,
2024-04-03 04:00:00,2024-04-03 05:00:00,0.84,
2024-04-03 05:00:00,2024-04-03 06:00:00,0.542,
2024-04-03 06:00:00,2024-04-03 07:00:00,0.761,
2024-04-03 07:00:00,2024-04-03 08:00:00,0.468,
2024-04-03 08:00:00,2024-04-03 09:00:00,0.65,
2024-04-03 09:00:00,2024-04-03 10:00:00,0.981,
2024-04-03 10:00:00,2024-04-03 11:00:00,3.889,
2024-04-03 11:00:00,2024-04-03 12:00:00,5.472,
2024-04-03 12:00:00,2024-04-03 13:00:00,2.419,
2024-04-03 13:00:00,2024-04-03 14:00:00,5.442,
2024-04-03 14:00:00,2024-04-03 15:00:00,3.67,
2024-04-03 15:00:00,2024-04-03 16:00:00,2.661,
2024-04-03 16:00:00,2024-04-03 17:00:00,3.845,
2024-04-03 17:00:00,2024-04-03 18:00:00,1.932,
2024-04-03 18:00:00,2024-04-03 19:00:00,4.212,
2024-04-03 19:00:00,2024-04-03 20:00:00,2.068,
2024-04-03 20:00:00,2024-04-03 21:00:00,1.942,
2024-04-03 21:00:00,2024-04-03 22:00:00,1.597,
2024-04-03 22:00:00,2024-04-03 23:00:00,2.258,
2024-04-03 23:00:00,2024-04-04 00:00:00,2.96,
2024-04-04 00:00:00,2024-04-04 01:00:00,1.896,
2024-04-04 01:00:00,2024-04-04 02:00:00,2.045,
2024-04-04 02:00:00,2024-04-04 03:00:00,0.751,
2024-04-04 03:00:00,2024-04-04 04:00:00,0.507,
2024-04-04 04:00:00,2024-04-04 05:00:00,0.706,
2024-04-04 05:00:00,2024-04-04 06:00:00,0.389,
2024-04-04 06:00:00,2024-04-04 07:00:00,0.566,
2024-04-04 07:00:00,2024-04-04 08:00:00,0.402,
2024-04-04 08:00:00,2024-04-04 09:00:00,0.887,
2024-04-04 09:00:00,2024-04-04 10:00:00,1.199,
2024-04-04 10:00:00,2024-04-04 11:00:00,1.117,
2024-04-04 11:00:00,2024-04-04 12:00:00,0.553,
2024-04-04 12:00:00,2024-04-04 13:00:00,0.553,
2024-04-04 13:00:00,2024-04-04 14:00:00,0.547,
2024-04-04 14:00:00,2024-04-04 15:00:00,0.559,
2024-04-04 15:00:00,2024-04-04 16:00:00,0.867,
2024-04-04 16:00:00,2024-04-04 17:00:00,0.548,
2024-04-04 17:00:00,2024-04-04 18:00:00,0.575,
2024-04-04 18:00:00,2024-04-04 19:00:00,2.85,
2024-04-04 19:00:00,2024-04-04 20:00:00,3.242,
2024-04-04 20:00:00,2024-04-04 21:00:00,1.971,
2024-04-04 21:00:00,2024-04-04 22:00:00,1.365,
2024-04-04 22:00:00,2024-04-04 23:00:00,1.932,
2024-04-04 23:00:00,2024-04-05 00:00:00,1.332,
2024-04-05 00:00:00,2024-04-05 01:00:00,2.441,
2024-04-05 01:00:00,2024-04-05 02:00:00,2.024,
2024-04-05 02:00:00,2024-04-05 03:00:00,0.69,
2024-04-05 03:00:00,2024-04-05 04:00:00,0.873,
2024-04-05 04:00:00,2024-04-05 05:00:00,0.559,
2024-04-05 05:00:00,2024-04-05 06:00:00,0.575,
2024-04-05 06:00:00,2024-04-05 07:00:00,0.576,
2024-04-05 07:00:00,2024-04-05 08:00:00,0.81,
2024-04-05 08:00:00,2024-04-05 09:00:00,0.703,
2024-04-05 09:00:00,2024-04-05 10:00:00,0.895,
2024-04-05 10:00:00,2024-04-05 11:00:00,1.331,
2024-04-05 11:00:00,2024-04-05 12:00:00,2.066,
2024-04-05 12:00:00,2024-04-05 13:00:00,0.574,
2024-04-05 13:00:00,2024-04-05 14:00:00,0.535,
2024-04-05 14:00:00,2024-04-05 15:00:00,0.571,
2024-04-05 15:00:00,2024-04-05 16:00:00,0.533,
2024-04-05 16:00:00,2024-04-05 17:00:00,0.837,
2024-04-05 17:00:00,2024-04-05 18:00:00,0.547,
2024-04-05 18:00:00,2024-04-05 19:00:00,0.562,
2024-04-05 19:00:00,2024-04-05 20:00:00,0.547,
2024-04-05 20:00:00,2024-04-05 21:00:00,3.823,
2024-04-05 21:00:00,2024-04-05 22:00:00,2.729,
2024-04-05 22:00:00,2024-04-05 23:00:00,1.945,
2024-04-05 23:00:00,2024-04-06 00:00:00,2.193,
2024-04-06 00:00:00,2024-04-06 01:00:00,2.681,
2024-04-06 01:00:00,2024-04-06 02:00:00,1.683,
2024-04-06 02:00:00,2024-04-06 03:00:00,0.786,
2024-04-06 03:00:00,2024-04-06 04:00:00,1.038,
2024-04-06 04:00:00,2024-04-06 05:00:00,0.635,
2024-04-06 05:00:00,2024-04-06 06:00:00,0.739,
2024-04-06 06:00:00,2024-04-06 07:00:00,0.618,
2024-04-06 07:00:00,2024-04-06 08:00:00,0.974,
2024-04-06 08:00:00,2024-04-06 09:00:00,0.707,
2024-04-06 09:00:00,2024-04-06 10:00:00,1.12,
2024-04-06 10:00:00,2024-04-06 11:00:00,1.374,
2024-04-06 11:00:00,2024-04-06 12:00:00,1.818,
2024-04-06 12:00:00,2024-04-06 13:00:00,0.541,
2024-04-06 13:00:00,2024-04-06 14:00:00,0.576,
2024-04-06 14:00:00,2024-04-06 15:00:00,0.549,
2024-04-06 15:00:00,2024-04-06 16:00:00,0.571,
2024-04-06 16:00:00,2024-04-06 17:00:00,0.812,
2024-04-06 17:00:00,2024-04-06 18:00:00,0.563,
2024-04-06 18:00:00,2024-04-06 19:00:00,1.338,
2024-04-06 19:00:00,2024-04-06 20:00:00,5.071,
2024-04-06 20:00:00,2024-04-06 21:00:00,2.226,
2024-04-06 21:00:00,2024-04-06 22:00:00,1.259,
2024-04-06 22:00:00,2024-04-06 23:00:00,4.89,
2024-04-06 23:00:00,2024-04-07 00:00:00,2.575,
2024-04-07 00:00:00,2024-04-07 01:00:00,4.151,
